date,open,high,low,close,volume
2021-07-30,14200,14285,14005,14280,11821
2021-08-31,14270,14290,13500,13700,96310
2021-09-30,13620,14000,13400,13500,394063
2021-10-29,13500,14145,13450,14100,270976
2021-11-30,14100,14190,13500,13980,234471
2021-12-31,13900,14000,13465,13975,311770
2022-01-31,13975,14000,13700,13975,194090
2022-02-28,13910,16590,13910,16495,256272
2022-03-31,16500,16505,15200,15800,198937
2022-04-29,15700,16000,15600,15950,203140
2022-05-31,15985,16485,14400,14750,312742
2022-06-30,14895,14895,14200,14490,157220
2022-07-29,14480,14995,14200,14890,123109
2022-08-31,14700,14890,14500,14795,152755
2022-09-30,14795,14800,14500,14500,297380
2022-10-31,14500,15000,14350,14400,216269
2022-11-30,14425,14985,14200,14700,216367
2022-12-30,14600,15600,14250,15200,209963
2023-01-31,15195,15395,14520,15195,232388
2023-02-28,15200,16450,15025,16395,357393
2023-03-31,16395,16395,15550,15800,261221
2023-04-28,15795,16050,15550,15990,134664
2023-05-31,15990,16500,14500,15000,229369
2023-06-30,14995,15400,14750,15400,192373
2023-07-31,15370,16985,15300,16985,147801
2023-08-31,16830,16985,15975,16350,211389
2023-09-29,16350,16850,16000,16400,109284
2023-10-31,16295,16950,16000,16950,186043
2023-11-30,16950,17295,16250,17200,135626
2023-12-29,17000,18000,16800,17980,205406
2024-01-31,17790,18000,16800,17000,173774
2024-02-29,16950,17900,16900,17890,197852
2024-03-29,17890,17900,17605,17900,217902
2024-04-30,17850,19350,17800,19200,174942
2024-05-31,19005,19540,17800,19200,254605
2024-06-28,19200,19700,19000,19380,194929
2024-07-31,19300,21000,19205,20700,225348
2024-08-30,20700,24130,20550,22500,252868
2024-09-30,22600,24150,22500,23200,188169
2024-10-31,23200,23850,22800,23700,645508
2024-11-29,23555,24100,23510,23750,185171
2024-12-31,23750,24300,23525,24000,247001
2025-01-31,23850,25000,23750,24990,50149
2025-02-28,24990,27000,24695,25760,142327
2025-03-28,25760,25800,23600,25000,191001
2025-04-30,25190,25500,24000,25100,96390
2025-05-30,25500,27000,24500,25000,243011
2025-06-30,25005,26400,24650,25800,300430
2025-07-31,25795,26000,24700,25000,167203
2025-08-29,25000,25350,24600,25000,189923
2025-09-30,25000,26000,24800,25605,77726
2025-10-31,25795,26900,25600,26105,219573
2025-11-28,26105,26300,24800,25600,279009
2025-12-31,25600,26120,24360,26120,364257
2026-01-30,24600,27200,24600,26950,87919
2026-02-27,26900,29300,26100,29300,125325
2026-03-31,29300,29300,28000,29000,196695
2026-04-30,28990,29000,27500,28700,219462
2026-05-29,28700,29400,27505,28450,156451
2026-06-30,28400,30000,28000,28500,164334
2026-07-31,29495,33000,29000,31000,196435
2026-08-31,31000,37100,30000,36600,257057
2026-09-24,36750,42500,36710,41890,370043
